"","Name","p","t","ValueAtRandomPoints"
"1","pine",1163.78180214034,15.3775161266572,1.284231861219e-08
"2","pine",998.913767144165,12.7752084869407,3.67702306732542e-08
"3","pine",1085.07052143081,15.0963574283151,1.91914014273878e-08
"4","pine",960.034447144492,15.0440403078387,3.33277945731327e-08
"5","pine",1040.24421478047,13.3655457678711,2.63067195291899e-08
"6","pine",1129.22507830758,13.414171441917,1.52209084271817e-08
"7","pine",618.813902779347,10.5583429525305,7.52941443521841e-09
"8","pine",837.524678933532,10.329323908971,1.71334675293926e-08
"9","pine",582.357984427886,19.6322853452003,1.16965048469985e-08
"10","pine",986.060117294069,8.98594179846528,9.43779613276911e-09
"11","pine",971.586686066893,12.1901953156146,3.85877176964652e-08
"12","pine",993.273383521858,12.8451751147728,3.81988249800111e-08
"13","pine",493.468945235266,12.5676299386419,1.24519452614264e-08
"14","pine",1089.71576508934,9.00109504893018,1.18226285955403e-08
"15","pine",636.730726751157,10.855259277048,1.15237671306731e-08
"16","pine",1100.59681172334,11.0438848913852,1.36602090974546e-08
"17","pine",864.18520258671,13.7141893205973,4.11863534618148e-08
"18","pine",1137.76053103714,8.70584119437603,7.17721228164163e-09
"19","pine",427.005930205323,15.451648736191,1.89358743107542e-08
"20","pine",537.214119897646,14.2481942419812,4.43009099299718e-08
"21","pine",569.962821212615,11.2962741759991,1.02093473264507e-08
"22","pine",334.489160369707,15.5713679477624,5.20570876829048e-09
"23","pine",1211.24305558117,16.1772700316976,5.38493027183034e-09
"24","pine",621.655333187169,14.8786227446892,5.33085110166574e-08
"25","pine",1205.87105219822,12.0588847779628,1.55787321205639e-08
"26","pine",685.115916323371,14.3386941522894,4.91956866892742e-08
"27","pine",1044.1941317547,10.1313177921205,2.01585836988826e-08
"28","pine",693.968922579113,12.7536443958676,3.61778728457606e-08
"29","pine",953.552583775124,14.3669025634402,3.47500268836821e-08
"30","pine",906.507223066283,10.2050624827123,2.02976864465686e-08
"31","pine",1240.69794601199,15.9712354343534,5.55844263619738e-09
"32","pine",673.078227559919,11.9032073628632,2.53699815902464e-08
"33","pine",519.035170407578,15.9119462714291,4.41258903867438e-08
"34","pine",589.066376855688,16.5911920012305,4.4826653081692e-08
"35","pine",761.328040853278,10.3319421568967,1.46688737546384e-08
"36","pine",1228.54117685852,14.6718700766467,1.36850447203046e-08
"37","pine",1034.38600923042,10.8156325437467,2.12447840790299e-08
"38","pine",780.925605441328,10.1359482055961,1.29968063278629e-08
"39","pine",551.314855177322,13.2017938488052,3.35803588890912e-08
"40","pine",1178.14229932424,16.049886325595,6.88299535196832e-09
"41","pine",603.005903276899,13.3023653578551,4.11243480589623e-08
"42","pine",378.578302360084,15.7972649547217,1.05760214439319e-08
"43","pine",649.214293461801,19.5842691370335,9.35245511785234e-09
"44","pine",1336.350874102,14.3479352415267,7.93825282636861e-09
"45","pine",1032.54598779254,11.5941449354083,2.25772084064712e-08
"46","pine",1003.05141604427,14.3168723851392,2.66155851990517e-08
"47","pine",1136.50263923435,15.653121585993,1.24346321249912e-08
"48","pine",461.395404508093,17.1065271486056,1.89723959177549e-08
"49","pine",1161.61544886403,10.8207164773316,1.06325914506407e-08
"50","pine",830.714318995259,13.3557385559343,3.81588209298831e-08
"51","pine",947.516083339818,17.780674362,6.62350946555228e-09
"52","pine",912.200037718022,14.8989862191189,3.81429140937087e-08
"53","pine",512.028250153163,17.9875451045368,2.12839681364141e-08
"54","pine",1099.61837904928,11.5004951041985,1.41466960295881e-08
"55","pine",1077.53491264198,14.4702035907917,1.91440130714079e-08
"56","pine",1097.85189971153,12.053154426811,1.52600918683887e-08
"57","pine",388.110216608912,14.5278787119274,6.40562608851814e-09
"58","pine",447.262774608399,14.984797230323,2.29942758293766e-08
"59","pine",664.329636368667,16.8898199595008,3.60877063703695e-08
"60","pine",834.978214249868,13.9925477683799,3.81067492312796e-08
"61","pine",566.820911644854,12.938606332958,3.19539481706558e-08
"62","pine",915.583044250007,13.9809152388592,4.12394903049702e-08
"63","pine",485.909806430566,12.1503719936897,7.58668056780919e-09
"64","pine",1065.59525432196,14.8728426170196,2.02522356542105e-08
"65","pine",467.970805638296,13.0109023091539,1.07257750958068e-08
"66","pine",856.860047698105,13.5844285649945,4.08866138675443e-08
"67","pine",414.7790107041,13.9704291589781,7.04617219424612e-09
"68","pine",798.234135042077,12.4810106890662,3.35828064710899e-08
"69","pine",1241.80089150311,14.6928505518641,1.27209989093654e-08
"70","pine",753.572453475901,14.5562321265806,4.17453368124345e-08
"71","pine",463.327686984783,14.0175966680621,2.04806903703806e-08
"72","pine",936.75418735307,17.6036319573815,9.89298771623194e-09
"73","pine",628.137897395712,17.3018569820314,3.64037695309573e-08
"74","pine",756.727899999343,18.8230927585958,1.04090505352911e-08
"75","pine",1097.75533865513,16.30013809537,9.41482933157926e-09
"76","pine",764.677639637882,14.077979298954,3.97257383486747e-08
"77","pine",534.278214016939,18.9828574959066,1.64927411204769e-08
"78","pine",1179.76040106882,13.5234302664717,1.56396503055128e-08
"79","pine",1011.27244847567,9.4644175026578,1.74132613890369e-08
"80","pine",1255.08115050565,12.603021686215,1.5184244705528e-08
"81","pine",600.885329273702,10.8531854304427,8.66389650115126e-09
